sessionid,discipline,ease_2,regret_2,support_2,time_2,time_second_evaluation,treatment_eval_2,ease_1,regret_1,support_1,time_1,time_first_evaluation,treatment_eval_1,data_file_title_1,time_create_1,treatment_1,trial_1,when_to_1,with_who_1,academic,awareness,frequency,honest,howmany,materials_type,time_awareness_evaluation,tongue,trust,updating,ways,when_best,year_born,data_file_title_2,time_create_2,treatment_2,trial_2,when_to_2,with_who_2,man_hours
f1deeddb2588e790d7425adfa7ffb307,Cell Biology,4,2,4,4,,Jam Share Data,4,2,4,4,,cite DataLabour,,,cite DataLabour,,null,public,1,"[""3""]",5,on,only me,imaging data,,"[""I'm a native English speaker"",""""]",first,null,"[""1""]",5,1987,,,,,,public,10
a3fb71f8688c810c126ede0a989b79cc,Synthetic Biology,2,2,,2,,Jam Share Data,4,3,4,4,,Jam Share Data,,,Jam Share Data,,later,collaborators,1,"[""4""]",5,null,only me,"Excel, images",,"[""I'm a native English speaker"",""""]",first,null,"[""1""]",5,1979,,,,,later,private,10
d1cf1e2bd3e41f2bd3576a32593e2f73,Biology,4,2,3,4,,Jam Share Data,4,2,3,4,,cite DataLabour,,,cite DataLabour,,null,public,1,"[""3""]",5,on,between 2 and 4,imaging data,,"[""I'm a native English speaker"",""""]",first,null,"[""4""]",5,1986,,,,,,public,
15977d31cfde3f67cdf3ca9e9f8995a0,chemistry,,,,,,,4,2,4,5,,cite DataLabour,,,cite DataLabour,,null,public,1,,,,between 2 and 4,Graphs,,"[""I'm a native English speaker"",""""]",,,,,1989,,,,,,,10
1d623c9e2a7e648e9ecdbd6c79d28d86,Biochemistry,,,,,,,,,,,,,,,,,,,,,,,between 5 and  12,NMR data,,"[""I'm a native English speaker"",""""]",,,,,1989,,,,,,,21
d563bbd6a93ae674d56f6eee9bd42c7f,Biochemistry,,,,,,,,,,,,,,,,,,,,,,,only me,X-ray diffraction im,,"[""I'm a native English speaker"",""""]",,,,,1975,,,,,,,90
406a90271ef00343d1e01dee35f79241,Chemistry,,,,,,,,,,,,,,,,,,,,,,,between 5 and  12,Peptide NMR dat,,"[""I'm a native English speaker"",""""]",,,,,1985,,,,,,,15
8c1e6fbeedd4cd745536d704920acfa8,Synthetic Biology,,,,,,,,,,,,,,,,,,,,,,,only me,PDB files,,"[""I have lived in an English speaking country for more than 2 years"",""I've learnt English when I was a child ( > 12 years old)"",""I have an English proficiency above professional working level"",""""]",,,,,1985,,,,,,,31
b7fd8acb10e98aacbf3a6d3158ad89b3,Chem-Biology,,,,,,,,,,,,,,,,,,,,,,,only me,experimental data ,,"[""I have lived in an English speaking country for more than 2 years"",""""]",,,,,1984,,,,,,,15
ec7ab8176936e91a2ec9b556f8f9c03a,Chemistry,,,,,,,,,,,,,,,,,,,,,,,only me,Probe for AFM alignm,,"[""I'm a native English speaker"",""""]",,,,,1989,,,,,,,10
d337bdab5a76114b5eabf4a5b042e2d9,Biochemistry,,,,,,,,,,,,,,,,,,,,,,,only me,"Enzyme studies, vari",,"[""I'm a native English speaker"",""""]",,,,,1989,,,,,,,14
a89c355e7d55d3fcf33be80900603d3d,Biochemistry,,,,,,,,,,,,,,,,,,,,,,,only me,Enzyme kinetics,,"[""I have lived in an English speaking country for more than 2 years"",""""]",,,,,1966,,,,,,,60
bf2280d39e5da090a78086cd8fa7f6a0,Biochemistry,,,,,,,,,,,,,,,,,,,,,,,only me,Enzyme ,,"[""I have lived in an English speaking country for more than 2 years"",""""]",,,,,1980,,,,,,,10
